Lemma,POS,feminine,neuter
κραταιός,adj,κραταιά,
κρυφαῖος,adj,,κρυφαῖον
κυριακός,adj,κυριακή,
λαμπρός,adj,λαμπρά,
λαξευτός,adj,,λαξευτόν
λεῖος,adj,λεία,
λειτουργικός,adj,,λειτουργικόν
Λευιτικός,adj,Λευιτική,
λίθινος,adj,λιθίνα,λίθινον
λιπαρός,adj,,λιπαρόν
λογικός,adj,λογική,
λοιπός,adj,λοιπή,
μακρός,adj,μακρά,μακρόν
μαλακός,adj,,μαλακόν
μάταιος,adj,,μάταιον
μεγαλεῖος,adj,,μεγαλεῖον
μέλας,adj,μελαίνα,
μέσος,adj,μέση,
μηδείς,adj,μηδεμία,
μόνος,adj,μόνη,
μύριοι,adj,,μύρια
μωρός,adj,μωρά,
νέος,adj,νέα,
νεωτερικός,adj,νεωτερική,
νομικός,adj,νομική,
ξένος,adj,ξένη,ξένον
ξηρός,adj,,ξηρόν
ξύλινος,adj,,ξύλινον
ὄγδοος,adj,ὀγδόη,
ὅδε,relative pronoun,ἥδε,τόδε
ὀλίγος,adj,ὀλίγη,
ὁποῖος,interrogative pronoun,ὁποία,
ὁρατός,adj,,ὁρατόν
ὀρεινός,adj,ὀρεινή,
ὀρθός,adj,ὀρθή,
ὀρθρινός,adj,ὀρθρινή,
ὅσιος,adj,ὁσία,ὅσιον
ὅσος,relative pronoun,ὅση,
ὅστις,relative pronoun,,ὅ τι
ὀστράκινος,adj,,ὀστράκινον
παράδοξος,adj,,παράδοξον
παραθαλάσσιος,adj,παραθαλασσία,
παράσημος,adj,,παράσημον
παρόμοιος,adj,,παρόμοιον
πατρικός,adj,πατρική,
πατρῷος,adj,,πατρῷον
πέμπτος,adj,πέμπτη,
πενιχρός,adj,πενιχρά,
πεντακόσιοι,adj,,πεντακόσια
πεντεκαιδέκατος,adj,,πεντεκαιδέκατον
περίεργος,adj,,περίεργον
περισσός,adj,περισσή,
πετεινός,adj,,πετεινόν
πηλίκος,interrogative pronoun,,πηλίκον
Πισίδιος,adj,Πισιδία,
πιστικός,adj,πιστική,
πλάνος,adj,,πλάνον
πνευματικός,adj,πνευματική,
ποικίλος,adj,ποικίλη,
πολλαπλασίων,adj,,πολλαπλασίον
πόσος,interrogative pronoun,πόση,
πραΰς,adj,,πραΰ
προβατικός,adj,προβατική,
πρόσκαιρος,adj,,πρόσκαιρον
προσφιλής,adj,,προσφιλές
πρότερος,adj,προτέρα,
πρωτότοκος,adj,,πρωτότοκον
πτηνός,adj,,πτηνόν
πτωχός,adj,,πτωχόν
πυκνός,adj,πυκνή,
ῥυπαρός,adj,ῥυπαρά,
σαρκικός,adj,σαρκική,σαρκικόν
σάρκινος,adj,σαρκίνη,
σεβαστός,adj,σεβαστή,
σεμνός,adj,σεμνή,σεμνόν
σητόβρωτος,adj,,σητόβρωτον
σιδηροῦς,adj,σιδηρά,
Σιδώνιος,adj,Σιδωνία,
σιρικός,adj,,σιρικόν
σιτιστός,adj,,σιτιστόν
σκολιός,adj,σκολιά,σκολιόν
σός,adj,σή,
σπόριμος,adj,,σπόριμον
συγκληρονόμος,adj,,συγκληρονόμον
συμμέτοχος,adj,,συμμέτοχον
σύμφωνος,adj,,σύμφωνον
σύσσωμος,adj,,σύσσωμον
συστατικός,adj,συστατική,
σωματικός,adj,,σωματικόν
τακτός,adj,τακτή,
τέσσαρες,adj,,τέσσαρες
τέταρτος,adj,τετάρτη,
τετρακόσιοι,adj,,τετρακόσια
τετράπους,adj,,τετράπουν
τηλικοῦτος,demonstrative pronoun,τηλικαύτη,τηλικοῦτον
τίμιος,adj,τιμία,τίμιον
τοιόσδε,demonstrative pronoun,τοιάδε,
τοσοῦτος,demonstrative pronoun,τοσαύτη,
τρεῖς,adj,τρία,τρίον
τριακόσιοι,adj,,τριακόσια
τρισχίλιοι,adj,τρισχίλιαι,
ὑγρός,adj,,ὑγρόν
ὑπέρογκος,adj,,ὑπέρογκον
ὕψιστος,adj,,ὕψιστον
φθαρτός,adj,φθαρτή,
φθινοπωρινός,adj,,φθινοπωρινόν
φίλος,adj,φίλη,
φυσικός,adj,φυσική,φυσικόν
χαλκοῦς,adj,,χαλκοῦν
χειροποίητος,adj,,χειροποίητον
χίλιοι,adj,χίλιαι,χίλια
χρύσεος,adj,,χρύσεον
ψυχρός,adj,,ψυχρόν
ὡραῖος,adj,ὡραία,
ὠφέλιμος,adj,,ὠφέλιμον
