AttributeName,pretty.property,pretty.value
S:subject of participle,Subject,Subject of participle
N:negation of nominal,Negation,Negation of nominal
N:negation of verb,Negation,Negation of verb
"N:negation of verb, semantically embedded",Negation,Negation of verb
"N:negation, other",Negation,"Negation, other"
"N:negation, εἰ μὴ",Negation,Εἰ μὴ
"N:negation, εἰ μὴ, nominal",Negation,Εἰ μὴ
NM:adjective,Modifier of nominal,Adjective
NM:pronoun,Modifier of nominal,Pronoun
NM:participle,Modifier of nominal,Participle
NM:prepositional phrase,Modifier of nominal,Prepositional phrase
NM:infinitive,Modifier of nominal,Infinitive
NM:adverb,Modifier of nominal,Adverb
NM:relative clause,Modifier of nominal,Relative clause
C:conjunct,Conjunction,"Conjunction, coordinating"
"C:conjunct, main",Conjunction,"Conjunction, subordinating"
"C:conjunct, subordinate",Conjunction,"Conjunction, subordinating"
"C:conjunct, μέν δέ",Conjunction,Μὲν...δέ...
"C:conjunct, ὡς, clause",Conjunction,Ὡς
"C:conjunct, ὡς, non-clause",Conjunction,Ὡς
"C:conjunct, ὡς, other",Conjunction,Ὡς
"R:determiner, things of",Other,"""Things of"""
R:argument of adjective,Other,Argument of adjective
"R:argument of adjective, infinitive",Other,Argument of adjective
"R:argument of adjective, nominal",Other,Argument of adjective
"R:direct object, attraction",Other,Attraction
"R:indirect object, attraction",Other,Attraction
"R:other, attraction",Other,Attraction
"R:subject, attraction",Other,Attraction
"R:subject of infinitive, attraction",Other,Attraction
R:comparative,Other,Comparison
R:sentential complement,Other,Indirect discourse
R:infinitive argument of verb,Other,Infinitive argument of verb
"R:infinitive, purpose",Other,"Infinitive, purpose"
"R:infinitive, something",Other,"Infinitive, something"
"R:interjection, vocative",Other,"Interjection, vocative"
R:number,Other,Number
"R:modifier of adjective, adverb",Other,Other modifier
"R:modifier of adjective, PP",Other,Other modifier
"R:modifier of non-nominal, adjective",Other,Other modifier
"R:modifier of other, adverb",Other,Other modifier
"R:modifier of other, nominal",Other,Other modifier
"R:modifier of other, participle",Other,Other modifier
"R:modifier of other, PP",Other,Other modifier
"R:predicate, nominal",Other,"Predicate, nominal"
"R:predicate, non-nominal",Other,"Predicate, non-nominal"
R:resumptive pronoun,Other,Resumptive pronoun
R:second-position clitic,Other,Second-position clitic
R:topic,Other,Topic
