"Lemma","LemmaSort","POS","PrincipalParts","ShortDefinition"
"ἀγαπάω","αγαπαω","verb","ἀγαπήσω, ἀγαπηθήσομαι, ἠγαπήκα, ἠγάπημαι, ἀγαπηθήσομαι","greet with affection; persuade, entreat; caress, pet; to be fond of, prize, desire; to be well pleased, contented; to be contented with; tolerate, put up with; may be content with; to be content; to be fond"
"ἀγάπη","αγαπη","noun","ἀγάπης","love; love-feast; alms, charity"
"ἀγαπητός","αγαπητοσ","adj","ἀγαπητή, ἀγαπητόν","that wherewith one must be content; to be acquiesced in; desirable; beloved; gladly, contentedly; just enough to content one, barely, scarcely"
"Ἁγάρ","αγαρ","noun","―","Hagar"
"ἀγγαρεύω","αγγαρευω","verb","ἀγγαρεύσω, ―, ―, ―, ―","press"
"ἀγγεῖον","αγγειον","noun","ἀγγείου","vessel; receptacle, reservoir; coffin, sarcophagus; vessel, cavity"
"ἀγγελία","αγγελια","noun","―","message, tidings; announcement, proclamation; messenger"
"ἀγγέλλω","αγγελλω","verb","―, ―, ―, ―, ―","bear a message; announce, report; bring news of; I announce myself; to be reported of"
"ἄγγελος","αγγελοσ","noun","ἀγγέλου","messenger, envoy; one that announces; angel; semi-divine being"
"ἄγγος","αγγοσ","noun","ἄγγους","vessel; cradle; womb; shell; cell"
"ἄγε","αγε","verb","―, ―, ―, ―, ―","come on!"
"ἀγέλη","αγελη","noun","ἀγέλης","herd; bands"
"ἀγενεαλόγητος","αγενεαλογητοσ","adj","―, ―","of unrecorded descent, Ep.Heb"
"ἀγενής","αγενησ","adj","―, ἀγενές","unborn, uncreated; of no family, ignoble; childless"
"ἁγιάζω","αγιαζω","verb","―, ἁγιασθήσομαι, ―, ἡγίασμαι, ἁγιασθήσομαι","hallow, make sacred"
"ἁγιασμός","αγιασμοσ","noun","ἁγιασμοῦ","consecration, sanctification"
"ἅγιος","αγιοσ","adj","ἁγία, ἅγιον","devoted to the gods; sacred, holy; temple; holy, pure; accursed, execrable"
"ἁγιότης","αγιοτησ","noun","ἁγιότητος","holiness, sanctity"
"ἁγιωσύνη","αγιωσυνη","noun","ἁγιωσύνης","holiness, sanctity"
"ἀγκάλη","αγκαλη","noun","ἀγκάλης","bent arm; bend of knee; anything closely enfolding; bundle, sheaf"
"ἄγκιστρον","αγκιστρον","noun","ἀγκίστρου","fish-hook"
"ἄγκυρα","αγκυρα","noun","ἀγκύρας","anchor; pruning-hook"
"ἄγναφος","αγναφοσ","adj","―, ἄγναφον","unshrunk"
"ἁγνεία","αγνεια","noun","ἁγνείας","purity, chastity; strict observance of religious duties"
"ἁγνίζω","αγνιζω","verb","―, ἁγνισθήσομαι, ἥγνικα, ἥγνισμαι, ἁγνισθήσομαι","wash off, cleanse away; cleanse, purify; purify; sacrifice; hallow, consecrate; burn up, consume"
"ἁγνισμός","αγνισμοσ","noun","ἁγνισμοῦ","purification, expiation"
"ἀγνοέω","αγνοεω","verb","―, ―, ―, ―, ―","not to perceive; go wrong, make a false step"
"ἀγνόημα","αγνοημα","noun","ἀγνοήματος","fault of ignorance, oversight; ignorance; object of ἄγνοια"
"ἄγνοια","αγνοια","noun","ἀγνοίας","want of perception, ignorance; mistaken conduct, a mistake"
"ἁγνός","αγνοσ","adj","ἁγνή, ἁγνόν","pure, chaste, holy; hallowed; chaste, pure; undefiled, chaste; pure from blood, guiltless; pure, upright"
"ἁγνός","αγνοσ","adv",NA,"pure, chaste, holy; hallowed; chaste, pure; undefiled, chaste; pure from blood, guiltless; pure, upright"
"ἁγνότης","αγνοτησ","noun","ἁγνότητος","purity, chastity, integrity"
"ἀγνωσία","αγνωσια","noun","ἀγνωσίας","ignorance; lack of acquaintance; being unknown, obscurity"
"ἄγνωστος","αγνωστοσ","adj","―, ―","unknown; not to be known; not an object of knowledge, unknowable; notknowing, ignorant of"
"ἀγορά","αγορα","noun","ἀγορᾶς","assembly; place of assembly; market-place; business of the ἀγορά; public speaking, gift of speaking; market; market, sale; the forenoon; marketday"
"ἀγοράζω","αγοραζω","verb","―, ἁγορασθήσομαι, ―, ἠγόρασμαι, ἁγορασθήσομαι","frequent the; buy in the market; haunt the ἀγορά"
"ἀγοραῖος","αγοραιοσ","adj","ἀγοραῖος, ―","in, of; details of market-business; frequenting the market; vulgar; proper to the ἀγορά; tabellio, notary; market-day"
"ἄγρα","αγρα","noun","ἀγνωσίας","hunting, the chase; way of catching; quarry, prey"
"ἀγράμματος","αγραμματοσ","adj","―, ―","illiterate; unable to utter articulate sounds; inarticulate"
"ἀγραυλέω","αγραυλεω","verb","―, ―, ―, ―, ―","live in the open, out of doors"
"ἀγρεύω","αγρευω","verb","―, ―, ―, ―, ―","take by hunting; hunt after, thirst for"
"ἀγριέλαιος","αγριελαιοσ","noun","ἀγριελαίου","of wild olive"
"ἄγριος","αγριοσ","adj","―, ἄγριον","living in the fields, wild, savage; wild; wild, uncultivated; savage, fierce; wild, fierce; cruel, harsh; malignant; savagely"
"Ἀγρίππας","αγριππασ","noun","Ἀγρίππα","Agrippa"
"ἀγρός","αγροσ","noun","ἀγροῦ","field; country"
"ἀγρυπνέω","αγρυπνεω","verb","―, ―, ―, ―, ―","lie awake, pass sleepless nights; to be watchful; lie awake and think of"
"ἀγρυπνία","αγρυπνια","noun","ἀγρυπνίας","sleeplessness, wakefulness; time of watching; product of sleepless nights"
"ἄγω","αγω","verb","ἄξω, ἀχθήσομαι, ―, ―, ἀχθήσομαι","lead, carry, fetch, bring; taking; take with one; carry off; to carry; to be confiscated; carry; draw on, bring on; bear up; carry far and wide, spread abroad; remove; lead towards; lead, guide; manage; refer, attribute; bring up, train, educate; reduce; draw out; hold, celebrate; keep, observe; pass; hold; hold account, treat; draw down; carry away for oneself; take to oneself; bring"
"ἀγωγή","αγωγη","noun","ἀγωγῆς","carrying away; voyage; bringing to; forcible seizure, carrying off, abduction; aqueducts; load; winding up; drawing; evoking; spell for bringing; leading, guidance; leading; direction, training; way; keeping, observance; method, construction; method of proof; school; manoeuvre, movement; actio; tempo"
"ἀγών","αγων","noun","ἀγῶνας","gathering, assembly; place of contest, lists, course; assembly; struggle; battle, action; action at law, trial; speech; main argument; the time for; mental struggle, anxiety; vehemence, power; divinity of the contest"
"ἀγωνία","αγωνια","noun","ἀγωνίας","contest, struggle for victory; gymnastic exercise; agony, anguish"
"ἀγωνίζομαι","αγωνιζομαι","verb","―, ―, ―, ἠγώνισμαι, ―","contend for a prize; fight; contend for the prize on the stage; contend in court; struggle, exert oneself; to be decided by contest, brought to issue"
"Ἀδάμ","αδαμ","noun","Ἀδάμ","Adam"
"ἀδάπανος","αδαπανοσ","adj","―, ἀδάπανον","without expense, costing nothing; not spending"
"Ἀδδί","αδδι","noun","Ἀδδί","Addi"
"ἀδελφή","αδελφη","noun","ἀδελφῆς","sister; kinswoman"
"ἀδελφός","αδελφοσ","noun","ἀδελφοῦ","son of the same mother; brother; kinsman; colleague, associate; fellow; brotherly; twin, in pairs"
"ἀδελφότης","αδελφοτησ","noun","ἀδελφότητος","brotherhood; the brotherhood"
"ἄδηλος","αδηλοσ","adj","ἄδηλος, ἄδηλον","unseen, invisible; by an unknown hand; it is uncertain; not evident to sense; unintelligible; unproved; secretly"
"ἄδηλος","αδηλοσ","adv",NA,"unseen, invisible; by an unknown hand; it is uncertain; not evident to sense; unintelligible; unproved; secretly"
"ἀδηλότης","αδηλοτησ","noun","ἀδηλότητος","uncertainty"
"ἀδημονέω","αδημονεω","verb","―, ―, ―, ―, ―","to be sorely troubled"
"ᾅδης","αδησ","noun","ᾅδου","ao; place of departed spirits; the grave, death; devilish"
"ἀδιάκριτος","αδιακριτοσ","adj","ἀδιάκριτος, ―","undistinguishable, mixed; promiscuous; unintelligible; undecided; not making due distinctions; without examination"
"ἀδιάλειπτος","αδιαλειπτοσ","adj","ἀδιάλειπτος, ―","unintermitting, incessant"
"ἀδιάλειπτος","αδιαλειπτοσ","adv",NA,"unintermitting, incessant"
"ἀδικέω","αδικεω","verb","ἀδικήσω, ἀδικηθήσομαι, ―, ―, ἀδικηθήσομαι","to be ἄδικος; to be in the wrong; wrong, injure; harm, injure"
"ἀδίκημα","αδικημα","noun","ἀδικήματος","wrong done; error of judgement; that which is got by wrong, ill gotten goods"
"ἀδικία","αδικια","noun","ἀδικίας","wrongdoing, injustice; wrongful act, offence"
"ἄδικος","αδικοσ","adj","―, ―","wrongdoing, unrighteous, unjust; obstinate, unmanageable; unjust, unrighteous; on which the courts were shut; jure an injuria"
"ἄδικος","αδικοσ","adv",NA,"wrongdoing, unrighteous, unjust; obstinate, unmanageable; unjust, unrighteous; on which the courts were shut; jure an injuria"
"Ἀδμίν","αδμιν","noun","Ἀδμίν","Admin"
"ἀδόκιμος","αδοκιμοσ","adj","ἀδόκιμος, ―","not legal tender, not current; unsatisfactory, unconvincing; disreputable; discredited, reprobate"
"ἄδολος","αδολοσ","adj","―, ἄδολον","guileless, honest; unadulterated, genuine; unpretentious"
"Ἀδραμυττηνός","αδραμυττηνοσ","adj","―, Ἀδραμυττηνόν","Adramyttium"
"Ἀδρίας","αδριασ","noun","Ἀδρία","the Adriatic"
"ἁδρότης","αδροτησ","noun","ἁδρότητος","vigour, strength; abundance"
"ἀδυνατέω","αδυνατεω","verb","ἀδυνατήσω, ―, ―, ―, ―","to be ἀδύνατος; to be impossible"
"ἀδύνατος","αδυνατοσ","adj","―, ἀδύνατον","unable; without strength, powerless, weakly; impossible; without power"
"ᾄδω","αδω","verb","―, ―, ―, ―, ―","Il.Parv.; sing of, chant; sing, praise, celebrate; to be filled with song"
"ἀεί","αει","adv",NA,"ever, always; eternity"
"ἀετός","αετοσ","noun","ἀετοῦ","eagle; eagle as a standard; omen; eagle-ray, Myliobatis aquila; gable, pediment; bandage; temporal vein; iron part of spoke of wheel"
"ἄζυμος","αζυμοσ","adj","―, ἄζυμον","without process of fermentation"
"Ἀζώρ","αζωρ","noun","Ἀζώρ","Azor"
"Ἄζωτος","αζωτοσ","noun","Ἀζώτου","Azotus"
"ἀήρ","αηρ","noun","ἀέρος","Aër; air; hot-air room; volume; sky-blue"
"ἀθανασία","αθανασια","noun","ἀθανασίας","immortality; elixir"
"ἀθέμιτος","αθεμιτοσ","adj","ἀθέμιτος, ἀθέμιτόν","unlawful"
"ἄθεος","αθεοσ","adj","―, ―","without God, denying the gods; godless, ungodly; abandoned of the gods; not derived from; by the anger of heaven; without vision; unseen"
"ἄθεσμος","αθεσμοσ","adj","―, ―","unlawful"
"ἀθετέω","αθετεω","verb","ἀθετήσω, ―, ―, ―, ―","set at naught; refuse one's assent; deal treacherously with, break faith with; reject as spurious; to be unsuitable, unfit"
"ἀθέτησις","αθετησισ","noun","ἀθετήσεως","a setting aside, abolition; rejection; breach of faith"
"Ἀθῆναι","αθηναι","noun","Ἀθηνῶν","the city of Athens; to Athens"
"Ἀθηναῖος","αθηναιοσ","adj","―, ―","Athenian"
"ἀθλέω","αθλεω","verb","―, ―, ―, ―, ―","having contended with; to be an athlete, contend; hold games"
"ἄθλησις","αθλησισ","noun","ἀθλήσεως","contest, combat; struggle, trial"
"ἀθροίζω","αθροιζω","verb","―, ―, ―, ἤθροισμαι, ―","gather together, collect, muster; collect"
"ἀθυμέω","αθυμεω","verb","―, ―, ―, ―, ―","to be disheartened, despond"
"ἀθῷος","αθωοσ","adj","―, ἀθῷον","scot-free; free from; unharmed by; not deserving punishment, guiltless; causing no harm, harmless"
"αἴγειος","αιγειοσ","adj","―, αἴγειον","of a goat"
"αἰγιαλός","αιγιαλοσ","noun","αἰγιαλοῦ","sea-shore, beach"
"Αἰγύπτιος","αιγυπτιοσ","adj","―, ―","in Egyptian style"
"Αἴγυπτος","αιγυπτοσ","noun","Αἰγύπτου","the river Nile; King Aegyptus; to Egypt"
"ἀΐδιος","αιδιοσ","adj","ἀΐδιος, ―","everlasting, eternal"
"αἰδώς","αιδωσ","noun","αἰδοῦς","reverence, awe, respect; regard for others, respect, reverence; that which causes shame; shame, scandal; dignity, majesty"
"Αἰθίοψ","αιθιοψ","noun","Αἰθίοπος","Ethiopian"
"αἷμα","αιμα","noun","αἵματος","blood; anything like blood; dye; spirit, courage; bloodshed, murder; blood relationship, kin"
"αἱματεκχυσία","αιματεκχυσια","noun","αἱματεκχυσίας","shedding of blood, Ep.Heb"
"αἱμορροέω","αιμορροεω","verb","―, ―, ―, ―, ―","to lose blood"
"Αἰνέας","αινεασ","noun","Αἰνέου","Aeneas"
"αἴνεσις","αινεσισ","noun","αἰνέσεως","praise"
"αἰνέω","αινεω","verb","―, ―, ―, ―, ―","tell, speak of; praise, approve; glorify; approve, advise, recommend; praise; approve; to promise"
"αἴνιγμα","αινιγμα","noun","αἰνίγματος","dark saying, riddle; taunt; ambush"
"αἶνος","αινοσ","noun","αἰνοῦ","tale, story; praise; decree, resolution"
"Αἰνών","αινων","noun","Αἰνών","Aenon"
"αἵρεσις","αιρεσισ","noun","αἱρέσεως","taking; choice; choice, election; inclination, choice; purpose, course of action; system of philosophic principles; corps; 'condition'; proposed condition, proposal; commission; freewill offering; bid"
"αἱρετίζω","αιρετιζω","verb","―, ―, ―, ―, ―","choose"
"αἱρετικός","αιρετικοσ","adj","―, ―","able to choose; factious; belonging to the 'condition'; from choice"
"αἱρέω","αιρεω","verb","αἱρήσομαι, ―, ―, ―, ―","take with the hand, grasp, seize; take away; take, get into one's power; catch, take; catch, detect; win, gain; get, obtain; convict; get a verdict for conviction; get a conviction; proves; due; grasp with the mind, understand; take for oneself; take to oneself, choose; prefer; to be content; take; choose by vote, elect; to be taken; to be chosen"
"αἴρω","αιρω","verb","ἀρῶ, ἀρθήσομαι, ἦρκα, ἤρμαι, ἀρθήσομαι","attach; lift, raise up; take up; take up and carry; take up and bear; wear; get; raise, levy; rear; raise up, exalt; raise by words; lift and take away, remove; make away with, destroy; lift, take up for oneself; to be puffed up; raise, lift; raise, stir up; take upon oneself, undergo; undertake anything; take away, remove; to be suspended, hang; to be swollen"
"αἰσθάνομαι","αισθανομαι","verb","―, ―, ―, ―, ―","perceive, apprehend by the senses; perceive, understand; take notice of, have perception of; display feeling"
"αἴσθησις","αισθησισ","noun","αἰσθήσεως","sense-perception, sensation; impressions of sense; display of feeling; scent"
"αἰσθητήριον","αισθητηριον","noun","αἰσθητηρίου","organ of sense"
"αἰσχροκερδής","αισχροκερδησ","adj","―, ―","sordidly greedy of gain"
"αἰσχροκερδής","αισχροκερδησ","adv",NA,"sordidly greedy of gain"
"αἰσχρολογία","αισχρολογια","noun","αἰσχρολογίας","foul language, obscenity; abuse"
"αἰσχρός","αισχροσ","adj","―, αἰσχρόν","causing shame, dishonouring, reproachful; ugly, ill-favoured; shameful, base; ill-suited"
"αἰσχρότης","αισχροτησ","noun","―","ugliness, deformity; filthy conduct"
"αἰσχύνη","αισχυνη","noun","αἰσχύνης","shame, dishonour; dishonouring; shame for; sense of shame, honour"
"αἰσχύνω","αισχυνω","verb","―, αἰσχυνθήσομαι, ―, ―, αἰσχυνθήσομαι","make ugly, disfigure; dishonour, tarnish; dishonour; disdain; to be dishonoured; to be ashamed, feel shame; to be ashamed at; to be ashamed to; to be ashamed; to feel shame before"
"αἰτέω","αιτεω","verb","αἰτήσω, ―, ᾔτηκα, ―, ―","ask, beg; ask for, demand; ask; beg of; postulate, assume; ask for one's own use, claim; have a thing begged of; to be asked"
"αἴτημα","αιτημα","noun","αἰτήματος","request, demand; postulate, assumption"
"αἰτία","αιτια","noun","αἰτίας","responsibility; invective; the credit; expostulation; cause; occasion, motive; head, category; case in dispute"
"αἴτιος","αιτιοσ","adj","―, αἴτιον","culpable, responsible; the accused, the culprit; responsible for; cause"
"αἰτίωμα","αιτιωμα","noun","αἰτιώματος","charge, accusation"
"αἰφνίδιος","αιφνιδιοσ","adj","αἰφνίδιος, ―","unforeseen, sudden"
"αἰχμαλωσία","αιχμαλωσια","noun","αἰχμαλωσίας","captivity; body of captives"
"αἰχμαλωτεύω","αιχμαλωτευω","verb","―, ―, ―, ―, ―","capture"
"αἰχμαλωτίζω","αιχμαλωτιζω","verb","―, αἰχμαλωτισθήσομαι, ―, ―, αἰχμαλωτισθήσομαι","take prisoner"
"αἰχμάλωτος","αιχμαλωτοσ","noun","αἰχμαλώτου","taken by the spear, captive, prisoner; such as awaits a captive"
"αἰών","αιων","noun","αἰῶνος","aevum; lifetime, life; age, generation; one's life, destiny, lot; long space of time, age; space of time; spinal marrow"
"αἰώνιος","αιωνιοσ","adj","αἰώνιος, αἰώνιον","lasting for an age; holding an office; saecularis; eternally"
"ἀκαθαρσία","ακαθαρσια","noun","ἀκαθαρσίας","uncleanness, foulness; dirt, filth; depravity; ceremonial impurity"
"ἀκάθαρτος","ακαθαρτοσ","adj","―, ἀκάθαρτον","uncleansed, foul; unpurified; morally unclean, impure; notpurgedaway, unpurged; unpruned; ceremonially unclean; not sifted, containing impurities; not fit for cleansing"
"ἀκαιρέω","ακαιρεω","verb","―, ―, ―, ―, ―","to be without an opportunity; talk nonsense"
"ἀκαίριος","ακαιριοσ","adv",NA,"untimely"
"ἄκακος","ακακοσ","adj","―, ―","unknowing of ill, guileless; innocent, simple; unharmed; unadulterated"
"ἄκανθα","ακανθα","noun","ἀκάνθης","thorn, prickle; any thorny; Spanish broom, Spartium junceum; prickles; backbone; thorny"
"ἀκάνθινος","ακανθινοσ","adj","―, ―","of thorns; thorny; of shittah-wood; thistle-down"
"ἄκαρπος","ακαρποσ","adj","―, ἄκαρπον","without fruit, barren; fruitless, unprofitable; making barren"
"ἀκατάγνωστος","ακαταγνωστοσ","adj","―, ―","not to be condemned"
"ἀκατακάλυπτος","ακατακαλυπτοσ","adj","ἀκατακάλυπτος, ―","uncovered"
"ἀκατάκριτος","ακατακριτοσ","adj","―, ―","uncondemned"
"ἀκατάλυτος","ακαταλυτοσ","adj","ἀκατάλυτος, ―","indissoluble, perpetual"
"ἀκατάπαυστος","ακαταπαυστοσ","adj","―, ―","not to be set at rest, incessant; not to be checked, irresistible"
"ἀκαταστασία","ακαταστασια","noun","ἀκαταστασίας","instability, anarchy, confusion; unsteadiness"
"ἀκατάστατος","ακαταστατοσ","adj","―, ἀκατάστατον","unstable, unsettled; not making any deposit"
"Ἁκελδαμάχ","ακελδαμαχ","noun","Ἁκελδαμάχ","Akeldama"
"ἀκέραιος","ακεραιοσ","adj","―, ―","pure, unmixed; pure in blood; unharmed, unravaged; pure, inviolate; uncontaminated, guileless; anew"
"ἀκλινής","ακλινησ","adj","ἀκλινής, ―","bending to neither side, unswerving; steadfast, steady"
"ἀκμάζω","ακμαζω","verb","―, ―, ―, ―, ―","to be in full bloom, at the prime; flourish, abound in; to be strong enough; is at its height; tis time"
"ἀκμήν","ακμην","adv",NA,"as yet, still; much"
"ἀκοή","ακοη","noun","ἀκοῆς","hearing, sound heard; thing heard, tidings; sense of hearing; act of hearing; ear; hearing, listening to; obedience; supernatural voices are heard"
"ἀκολουθέω","ακολουθεω","verb","ἀκολουθήσω, ―, ἠκολούθηκα, ―, ―","follow; follow, be guided by; follow the thread; follow upon, to be consequent upon, consistent with; to be consequent; it follows"
"ἀκούω","ακουω","verb","ἀκούσω, ἀκουσθήσομαι, ἀκήκοα, ―, ἀκουσθήσομαι","hear; hear of, hear tell of; hear of; should he hear; what one actually hears; know by hearsay; hearken, give ear; readers of a book; listen to, give ear to; obey; hear and understand; to be a pupil of; hear oneself called, be called; were said; have; hear it; understand, take; aspect mutually"
"ἀκρασία","ακρασια","noun","ἀκρασίας","bad mixture, ill temperature"
"ἀκρατής","ακρατησ","adj","―, ―","powerless, impotent; invalid; not having power; without command over; uncontrolled, immoderate"
"ἄκρατος","ακρατοσ","adj","―, ―","unmixed, neat; pure, simple; pure, absolute; pure, untempered, absolute; intemperate, violent; Dem.Fr.(b)"
"ἀκρίβεια","ακριβεια","noun","ἀκριβείας","exactness, precision; parsimony, frugality"
"ἀκριβής","ακριβησ","adj","ἀκριβής, ἀκριβέστερον","exact, accurate, precise; precise, strict; in the strict sense of the word; pure-bred, genuine; true; parsimonious, stingy"
"ἀκριβής","ακριβησ","adv",NA,"exact, accurate, precise; precise, strict; in the strict sense of the word; pure-bred, genuine; true; parsimonious, stingy"
"ἀκριβόω","ακριβοω","verb","―, ―, ―, ―, ―","make exact; investigate accurately, understand thoroughly; describe accurately; to be exact"
"ἀκρίς","ακρισ","noun","ἀκρίδος","grasshopper, locust, cricket"
"ἀκροατήριον","ακροατηριον","noun","ἀκροατηρίου","place of audience; audience"
"ἀκροατής","ακροατησ","noun","ἀκροατοῦ","hearer; reader"
"ἀκροβυστία","ακροβυστια","noun","ἀκροβυστίας","foreskin; state of having the foreskin, uncircumcision; the uncircumcised"
"ἀκρογωνιαῖος","ακρογωνιαιοσ","adj","―, ―","at the extreme angle"
"ἀκροθίνιον","ακροθινιον","noun","ἀκροθινίου","topmost"
"ἄκρον","ακρον","noun","ἄκρου","highest; mountain top, peak; tops; headland, cape; end, extremity; highest pitch, height; pride; major and minor terms; extremes"
"Ἀκύλας","ακυλασ","noun","Ἀκύλα","Aquila"
"ἀκυρόω","ακυροω","verb","―, ―, ―, ―, ―","cancel, set aside; set at naught, treat as of no effect; reject, deny the validity of; render powerless"
"ἄκων","ακων","adj","―, ―","javelin, dart"
"ἀλάβαστρον","αλαβαστρον","noun","ἀλαβάστρου","globular vase without handles for holding perfume, often made of alabaster"
"ἀλάβαστρος","αλαβαστροσ","noun","ἀλαβάστρου","Ev Marc"
"ἀλαζονεία","αλαζονεια","noun","ἀλαζονείας","false pretension, imposture"
"ἀλαζών","αλαζων","noun","ἀλαζόνος","wanderer about country, vagrant; charlatan, quack; braggart, boaster; boastful, pretentious"
"ἀλαλάζω","αλαλαζω","verb","―, ―, ―, ―, ―","raise the war-cry; cry, shout aloud; sound loudly"
"ἀλάλητος","αλαλητοσ","adj","―, ―","unspeakable, unutterable"
"ἄλαλος","αλαλοσ","adj","―, ἄλαλον","speechless, dumb"
"ἅλας","αλασ","noun","ἅλατος","salt"
"ἀλείφω","αλειφω","verb","―, ―, ―, ―, ―","anoint the skin with oil; supply oil; polish; prepare as if for gymnastics, encourage, stimulate, instigate; daub, plaster, besmear"
"ἀλεκτοροφωνία","αλεκτοροφωνια","noun","ἀλεκτοροφωνίας","cock-crow"
"ἀλέκτωρ","αλεκτωρ","noun","ἀλέκτορος","cock; yellow rattle, Rhinanthusmajor; husband, consort"
"Ἀλεξανδρεύς","αλεξανδρευσ","noun","Ἀλεξανδρέως","Alexandrian"
"Ἀλεξανδρῖνος","αλεξανδρινοσ","adj","―, ἀλεξανδρῖνον","Alexandrian"
"Ἀλέξανδρος","αλεξανδροσ","noun","Ἀλεξάνδρου","Alexander"
"ἄλευρον","αλευρον","noun","ἀλεύρου","wheat-meal; meal"
"ἀλήθεια","αληθεια","noun","ἀληθείας","truth; a lie; truth, reality; real war; true event, realization; truthfulness, sincerity; symbol of truth, jewel"
"ἀληθεύω","αληθευω","verb","―, ―, ―, ―, ―","speak truth; to be, prove true"
"ἀληθής","αληθησ","adj","ἀληθής, ἀληθές","unconcealed; truthful, honest; true, unerring; true, real; realizing itself, coming to fulfilment; truly; actually, in reality; indeed? really?; not forgetting, careful"
"ἀληθής","αληθησ","adv",NA,"unconcealed; truthful, honest; true, unerring; true, real; realizing itself, coming to fulfilment; truly; actually, in reality; indeed? really?; not forgetting, careful"
"ἀληθινός","αληθινοσ","adj","ἀληθινή, ἀληθινόν","agreeable to truth; truthful, trusty; true, genuine; truly, really; honestly, straightforwardly"
"ἀλήθω","αληθω","verb","―, ―, ―, ―, ―","grind, bruise"
"ἁλιεύς","αλιευσ","noun","ἁλιέως","one who has to do with the sea; fisher; seaman, sailor"
"ἁλιεύω","αλιευω","verb","―, ―, ―, ―, ―","fish"
"ἁλίζω","αλιζω","verb","―, ἁλισθήσομαι, ―, ―, ἁλισθήσομαι","gather together, assemble; salt; supply with salt"
"ἀλίσγημα","αλισγημα","noun","ἀλισγήματος","pollution"
"ἀλλά","αλλα","conj",NA,"otheruise; but; not only . . but; still, at least; at least; except, but; not; but, yet; nay but . . , well but; it is not [so], but; at all events; but really, certainly; quid si . . ? ; et quidem"
"ἀλλάσσω","αλλασσω","verb","ἀλλάξω, ἀλλαγήσομαι, ―, ―, ἀλλαγήσομαι","make other than it is, change, alter; give in exchange, barter; repay, requite; leave, quit; move one's position; take; take a new position; have dealings; alternate"
"ἀλλαχόθεν","αλλαχοθεν","adv",NA,"from another place"
"ἀλλαχοῦ","αλλαχου","adv",NA,"elsewhere"
"ἀλληγορέω","αλληγορεω","verb","―, ―, ―, ―, ―","interpret allegorically; speak figuratively; allegorical expounder"
"ἁλληλουϊά","αλληλουια","ptcl",NA,"hallelujah"
"ἀλλήλων","αλληλων","reflexive pronoun","―, ἀλλήλων","of one another, to one another, one another"
"ἀλλογενής","αλλογενησ","adj","―, ―","of another race"
"ἅλλομαι","αλλομαι","verb","―, ―, ―, ―, ―","sal-; leap over; twitch, quiver, throb"
"ἄλλος","αλλοσ","adj","ἄλλη, ἄλλο","y; any other; one man; one and then another, one or two; quite another; the rest, all besides; yet, still, further; as well, besides; of other sort, different; other than; other than what is, untrue, unreal; other than right, wrong, bad"
"ἀλλοτριεπίσκοπος","αλλοτριεπισκοποσ","noun","―","busybody in other men's matters"
