LessonID,LessonName,LessonGroup,ColumnName,Tooltip
55,Indefinite pronouns,Pronouns,p_indef,"Indefinite pronouns (e.g., τις ‘whoever’)"
56,Relative pronouns,Pronouns,p_rel,Relative pronouns and relative clauses
66,Comparison,Syntactic structures,comps,Comparison with ἤ ‘than’
67,Indirect discourse,Syntactic structures,disc,Reported speech with ὅτι ‘that’ or direct quotation
68,Topics,Syntactic structures,top,Initial phrases not syntactically integrated with the rest of the sentence
26,Present indicative,Tense and mood,pres_ind,"Present indicative verbs (e.g., λέγω ‘I say’)"
27,Future indicative,Tense and mood,fut_ind,"Future indicate verb forms (e.g., σώσει ‘he will save’)"
28,Imperfect indicative,Tense and mood,imp_ind,"Imperfect indicative verb forms (e.g., ἔλεγον ‘they said’)"
29,Aorist indicative,Tense and mood,aor_ind,"Aorist indicative verb forms (e.g., ἐπίστευσαν ‘they believed’)"
30,Perfect indicative,Tense and mood,per_ind,"Perfect indicative verb forms (e.g., σέσωκέν ‘he has saved’)"
31,Pluperfect indicative,Tense and mood,plu_ind,"Pluperfect indicative verb forms (e.g., πεπιστεύκεισαν ‘they had believed’)"
32,Present infinitive,Tense and mood,pres_inf,"Present infinitive verb forms (e.g., ἔχειν ‘to have’)"
33,Future infinitive,Tense and mood,fut_inf,"Future infinitive verb forms (e.g., ἀκούσειν ‘to hear’)"
34,Aorist infinitive,Tense and mood,aor_inf,"Aorist infinitive verb forms (e.g., σῶσαι ‘to hear’)"
35,Perfect infinitive,Tense and mood,per_inf,"Perfect infinitive verb forms (e.g., ἠλπικέναι ‘to have hoped’)"
36,Present participle,Tense and mood,pres_part,"Present participle verb forms (e.g., λέγων ‘saying’)"
37,Future participle,Tense and mood,fut_part,"Future participle verb forms (e.g., σώσων ‘being about to save’)"
38,Aorist participle,Tense and mood,aor_part,"Aorist participle verb forms (e.g., ἀκούσας ‘having heard’)"
39,Perfect participle,Tense and mood,per_part,"Perfect participle verb forms (e.g., πεπιστευκότες ‘having believed’)"
40,Present imperative,Tense and mood,pres_imp,"Present imperative verb forms (e.g., βλέπετε ‘look!’)"
41,Aorist imperative,Tense and mood,aor_imp,"Aorist imperative verb forms (e.g., γράψον ‘write!’)"
42,Perfect imperative,Tense and mood,per_imp,"Perfect imperative verb forms (e.g., πεφίμωσο ‘be quiet!’)"
43,Present subjunctive,Tense and mood,pres_sub,"Present subjunctive verb forms (e.g., θέλῃ ‘he might want’)"
44,Aorist subjunctive,Tense and mood,aor_sub,"Aorist subjunctive verb forms (e.g., πιστεύσητε ‘that y’all might believe’)"
45,Perfect subjunctive,Tense and mood,per_sub,"Perfect subjunctive verb forms (e.g., εἰδῶμεν ‘that we might know’)"
46,Present optative,Tense and mood,pres_opt,"Present optative verb forms (e.g., ἔχοι ‘he might have’)"
47,Aorist optative,Tense and mood,aor_opt,"Aorist optative verb forms (e.g., ἁγιάσαι ‘he might make holy’)"
18,Εἰμί,Verb class,eimi,Εἰμί ‘to be’ and its prefixed forms
19,Omega,Verb class,omega,Verbs ending in -ω
20,"Contract, έω",Verb class,c_ew,Verbs ending in -έω
21,"Contract, άω",Verb class,c_aw,Verbs ending in -άω
22,"Contract, όω",Verb class,c_ow,Verbs ending in -όω
23,Μί,Verb class,mi,Verbs ending in -μί
24,Οἶδα,Verb class,oida,Οἶδα (a special verb)
25,Other,Verb class,v_other,All other verbs
48,Active,Voice,act,"Verbs in the active voice (e.g., βαπτίζω ‘I baptize’)"
49,Middle,Voice,mid,"Verbs in the middle voice (e.g., ἀπεκρίνατο ‘he answered’)"
50,Passive,Voice,pas,"Verbs in the passive voice (e.g., ἐβαπτίσθη ‘he was baptized’)"
