book,chapter,verse,position,new_nominal_type,new_case_type
John,13,20,9,,accusative
John,13,22,9,,accusative
John,13,24,9,,accusative
John,13,27,17,,accusative
John,13,29,17,,accusative
John,13,38,19,,genitive
John,14,3,17,,nominative
John,14,7,11,,genitive
John,14,22,15,"pronoun, noun",
John,14,24,18,"adjective, headless",
John,14,26,25,,accusative
John,14,29,6,,genitive
John,15,7,13,,accusative
John,15,14,9,,accusative
John,15,15,22,,accusative
John,15,16,27,,accusative
John,15,24,21,"pronoun, noun",
John,16,3,9,"noun, pronoun",
John,16,13,22,,accusative
John,16,23,16,,accusative
John,16,24,2,,genitive
John,16,25,14,relative clause,
John,17,2,10,,accusative
John,17,3,14,"pronoun, noun",
John,17,9,13,,genitive
John,17,24,8,,nominative
John,18,1,21,"pronoun, noun",
John,18,21,14,,accusative
John,18,26,11,,genitive
John,18,26,19,,accusative
John,18,32,12,,accusative
John,19,22,5,,accusative
John,19,25,20,headless,
John,19,37,9,,accusative
John,20,7,1,"participle, headless",
John,20,17,30,noun,accusative
John,21,2,5,"noun, adjective",
John,21,9,10,"participle, noun",
John,21,19,7,,accusative
Acts,1,1,11,,genitive
Acts,1,23,3,,accusative
Acts,2,9,2,"noun, participle, adjective",
Acts,2,14,17,"noun, participle",
Acts,2,24,10,relative clause,
Acts,2,25,9,,accusative
Acts,2,39,6,"pronoun, noun, headless",
Acts,3,18,5,,accusative
Acts,3,22,23,,accusative
Acts,3,24,8,"noun, headless",
Acts,4,5,10,"noun, adjective",
Acts,4,8,12,"noun, adjective",
Acts,4,10,5,"pronoun, noun",
Acts,4,13,15,"adjective, noun",
Acts,4,23,14,"noun, adjective",
Acts,4,23,17,,accusative
Acts,4,24,18,"noun, headless",
Acts,4,28,9,,accusative
Acts,4,29,18,,accusative
Acts,5,16,12,"adjective, participle",
Acts,5,17,5,"noun, headless",
Acts,5,21,16,"noun, headless",
Acts,5,24,20,,accusative
Acts,5,25,7,participle,
Acts,5,34,16,,accusative
Acts,5,35,14,,accusative
Acts,6,9,11,"noun, headless",
Acts,6,12,5,"noun, adjective",
Acts,7,5,18,"pronoun, noun",
Acts,7,15,9,"pronoun, noun",
Acts,7,18,3,,genitive
Acts,7,35,16,noun,
Acts,7,55,13,"noun, participle",
Acts,8,7,14,"participle, adjective",
Acts,8,24,19,,genitive
Acts,8,30,17,,accusative
Acts,9,13,17,,accusative
Acts,9,16,6,,accusative
Acts,10,2,2,"adjective, participle",
Acts,10,7,13,"adjective, noun",
Acts,10,12,7,"noun, adjective",
Acts,10,15,11,,accusative
Acts,10,16,5,,accusative
Acts,10,17,10,,accusative
Acts,10,21,12,,nominative
Acts,10,22,8,"adjective, participle",
Acts,10,29,10,,accusative
Acts,10,39,6,,genitive
Acts,10,42,19,"participle, adjective",
Acts,11,6,11,"adjective, noun",
Acts,11,9,12,,accusative
Acts,11,10,5,,accusative
Acts,11,14,10,"pronoun, noun",
Acts,11,16,7,,genitive
Acts,11,19,23,,dative
Acts,11,24,1,relative clause,
Acts,12,17,13,,accusative
Acts,12,23,10,,genitive
Acts,13,6,14,relative clause,
Acts,13,16,11,"noun, participle",
Acts,13,27,12,"pronoun, noun",
Acts,13,38,19,,genitive
Acts,13,43,9,"adjective, participle",
Acts,13,50,10,"noun, adjective",
Acts,14,1,22,"adjective, noun",
Acts,14,5,8,"noun, adjective",
Acts,14,6,11,"noun, adjective",
Acts,14,11,6,,accusative
Acts,14,15,27,"noun, headless",
Acts,14,27,14,"relative clause, clause",accusative
Acts,15,2,28,"noun, adjective",
Acts,15,4,9,"noun, adjective",
Acts,15,4,20,,accusative
Acts,15,6,5,"noun, adjective",
Acts,15,10,15,"noun, pronoun",
Acts,15,20,10,"noun, adjective",
Acts,15,22,5,"noun, adjective",
Acts,15,23,7,"noun, adjective",
Acts,15,27,6,"noun, participle",
Acts,15,28,7,"noun, pronoun",
Acts,15,29,3,"noun, adjective",
Acts,16,4,16,"noun, adjective",
Acts,16,17,5,"noun, pronoun",
Acts,16,31,12,"pronoun, noun",
Acts,16,33,17,"pronoun, headless",
Acts,17,9,8,"noun, adjective",
Acts,17,11,16,,accusative
Acts,17,12,7,"adjective, noun",
Acts,17,14,11,,genitive
Acts,17,17,9,"adjective, participle",
Acts,17,21,4,"adjective, participle",
Acts,17,22,14,adjective,
Acts,17,24,7,"noun, headless",
Acts,17,25,12,"noun, adjective",
Acts,17,34,7,relative clause,
Acts,17,34,9,"noun, adjective",
Acts,19,7,6,,nominative
Acts,19,22,6,,accusative
Acts,19,25,3,"pronoun, noun",
Acts,19,37,6,"adjective, participle",
Acts,20,20,14,"adjective, headless",
Acts,20,23,1,"relative clause, clause",
Acts,20,28,3,"pronoun, noun",
Acts,20,34,7,"noun, participle",
Acts,21,5,18,,genitive
Acts,21,12,8,"pronoun, adjective",
Acts,21,16,5,headless,
Acts,21,19,9,,genitive
Acts,21,25,14,"adjective, noun",
Acts,21,26,26,,genitive
Acts,21,29,13,relative clause,
Acts,21,33,16,,accusative
Acts,22,3,30,,nominative
Acts,22,5,30,participle,
Acts,22,10,22,,genitive
Acts,22,17,7,,"dative, genitive"
Acts,23,12,17,,genitive
Acts,23,14,5,"noun, adjective",
Acts,23,14,16,,genitive
Acts,23,21,23,,genitive
Acts,24,1,12,"adjective, noun",
Acts,24,5,7,"adjective, participle, noun",
Acts,24,11,13,,genitive
Acts,24,13,8,,genitive
Acts,24,14,23,"headless, participle",
Acts,25,2,6,"noun, adjective",
Acts,25,15,10,"noun, adjective",
Acts,25,16,12,infinitive,
Acts,25,18,11,,genitive
Acts,25,21,17,,genitive
Acts,25,24,27,"noun, headless",
Acts,25,24,33,,nominative
Acts,25,26,27,,accusative
Acts,26,2,4,,genitive
Acts,26,9,15,,nominative
Acts,26,11,18,,genitive
Acts,26,13,17,"pronoun, participle",
Acts,26,16,21,,genitive
Acts,26,20,15,"headless, noun",
Acts,26,22,25,,genitive
Acts,26,29,17,"pronoun, participle",
Acts,27,10,18,noun,
Acts,27,20,1,noun,
Acts,27,33,5,,genitive
Acts,28,22,7,,accusative
Acts,28,23,34,,genitive
Rom,1,13,17,headless,
Rom,1,23,13,"noun, adjective",
Rom,2,1,12,,dative
Rom,2,8,5,participle,
Rom,2,14,11,headless,accusative
Rom,2,16,4,relative clause,
Rom,2,29,7,"adjective, noun",
Rom,2,29,20,relative clause,
Rom,3,9,10,"adjective, noun",
Rom,3,26,21,"adjective, participle",
Rom,4,12,9,"headless, participle",
Rom,4,21,5,,nominative
Rom,5,17,20,,"accusative, genitive"
Rom,6,16,13,,dative
Rom,6,21,9,,dative
Rom,7,6,10,,dative
Rom,7,15,3,,accusative
Rom,7,17,7,"pronoun, noun",
Rom,7,19,4,,accusative
Rom,7,20,12,"pronoun, noun",
Rom,8,1,6,noun,
Rom,8,5,8,,accusative
Rom,8,20,9,"adjective, headless",
Rom,8,24,13,,accusative
Rom,8,25,5,,accusative
Rom,8,38,4,"noun, participle",
Rom,9,5,4,relative clause,
Rom,9,15,8,,accusative
Rom,9,15,13,,accusative
Rom,9,18,4,,accusative
Rom,9,18,8,,accusative
Rom,10,14,7,,accusative
Rom,10,14,13,,dative
Rom,11,13,10,,accusative
Rom,11,25,28,,genitive
Rom,12,3,18,,accusative
Rom,13,3,10,"noun, adjective",
Rom,13,9,27,clause,
Rom,14,9,9,"adjective, participle",
Rom,14,17,11,noun,nominative
Rom,14,19,7,headless,accusative
Rom,14,22,18,,dative
Rom,15,5,13,,accusative
Rom,15,12,10,"noun, participle",
Rom,15,18,8,,genitive
Rom,15,24,5,relative clause,
Rom,15,24,13,relative clause,
Rom,16,2,6,adjective,
Rom,16,2,24,"adjective, pronoun",
Rom,16,4,15,"pronoun, noun",
Rom,16,7,8,"adjective, noun",
Rom,16,10,11,headless,
Rom,16,11,10,headless,
Rom,16,15,10,"noun, adjective",accusative
Rom,16,23,7,"pronoun, noun",
1Cor,1,11,10,headless,
1Cor,1,28,6,"adjective, participle",
1Cor,2,2,12,"noun, pronoun",
1Cor,2,9,8,clause,
1Cor,2,11,7,,accusative
1Cor,2,11,21,,accusative
1Cor,2,14,8,,accusative
1Cor,3,3,7,relative clause,
1Cor,3,10,21,,accusative
1Cor,4,1,5,noun,
1Cor,4,5,13,relative clause,
1Cor,4,6,7,"pronoun, noun",
1Cor,4,6,17,clause,
1Cor,4,6,19,,accusative
1Cor,4,13,11,,genitive
1Cor,5,1,11,relative clause,
1Cor,5,4,10,"pronoun, noun",
1Cor,5,10,8,"noun, adjective",
1Cor,6,9,12,"noun, adjective",
1Cor,7,1,4,,genitive
1Cor,7,8,5,"noun, adjective",
1Cor,7,10,7,"pronoun, noun",
1Cor,7,32,11,headless,accusative
1Cor,7,33,7,headless,accusative
1Cor,7,34,14,headless,accusative
1Cor,7,34,30,headless,accusative
1Cor,7,36,18,,accusative
1Cor,7,39,18,,dative
1Cor,8,6,11,relative clause,
1Cor,8,6,24,relative clause,
1Cor,8,7,12,,genitive
1Cor,9,5,8,infinitive,
1Cor,9,6,4,"pronoun, noun",
1Cor,9,16,12,noun,
1Cor,10,6,13,,accusative
1Cor,10,13,19,,accusative
1Cor,10,15,7,,accusative
1Cor,10,20,4,,accusative
1Cor,10,24,3,headless,
1Cor,10,24,5,headless,accusative
1Cor,10,24,8,headless,
1Cor,10,28,15,"participle, noun",
1Cor,10,29,6,headless,accusative
1Cor,10,29,7,"pronoun, adjective",
1Cor,10,30,10,,genitive
1Cor,10,32,2,"adjective, noun",
1Cor,10,33,11,"adjective, headless",
1Cor,11,23,9,,accusative
1Cor,11,26,19,,genitive
1Cor,12,14,9,"noun, adjective",
1Cor,13,5,6,headless,accusative
1Cor,13,11,19,headless,accusative
1Cor,14,16,14,noun,
1Cor,14,22,10,"participle, adjective",
1Cor,14,23,17,"noun, adjective",
1Cor,14,24,9,"adjective, noun",
1Cor,14,28,12,"pronoun, noun",
1Cor,14,37,6,"noun, adjective",
1Cor,15,3,8,,accusative
1Cor,15,6,13,,genitive
1Cor,15,10,6,,nominative
1Cor,15,11,1,pronoun,
1Cor,15,24,13,relative clause,
1Cor,15,24,19,noun,
1Cor,15,25,7,,genitive
1Cor,15,37,16,"noun, pronoun",
1Cor,15,39,10,headless,
1Cor,15,39,21,headless,
1Cor,15,40,18,headless,
1Cor,16,2,12,,accusative
1Cor,16,14,2,headless,
1Cor,16,16,7,"pronoun, participle",
1Cor,16,18,6,"noun, headless",
2Cor,1,13,6,"adjective, relative clause",
2Cor,1,17,11,,accusative
2Cor,1,17,20,noun,
2Cor,1,17,22,noun,
2Cor,1,17,24,noun,
2Cor,1,19,16,"pronoun, noun",
2Cor,1,20,8,noun,
2Cor,1,20,14,noun,
2Cor,1,22,2,participle,
2Cor,2,3,12,,genitive
2Cor,2,17,4,participle,
2Cor,4,1,7,,nominative
2Cor,4,5,5,"pronoun, noun",
2Cor,4,7,17,"noun, headless",
2Cor,5,4,13,,dative
2Cor,5,15,11,"pronoun, participle",
2Cor,8,5,11,"noun, pronoun",
2Cor,8,6,6,infinitive,
2Cor,8,10,21,,genitive
2Cor,8,15,5,headless,
2Cor,8,15,11,headless,
2Cor,8,18,13,relative clause,
2Cor,9,2,15,,genitive
2Cor,10,2,17,participle,
2Cor,11,12,3,,accusative
2Cor,11,12,16,,dative
2Cor,11,17,2,,accusative
2Cor,11,24,4,,accusative
2Cor,11,30,6,,accusative
2Cor,12,14,6,,accusative
2Cor,12,14,16,headless,
2Cor,12,14,17,"headless, pronoun",accusative
2Cor,12,17,4,,genitive
2Cor,12,20,8,,accusative
2Cor,12,20,16,,nominative
2Cor,13,1,10,"noun, adjective",
2Cor,13,2,13,"participle, adjective",
Gal,1,4,8,participle,
Gal,1,5,1,relative clause,
Gal,1,8,5,"pronoun, noun",
Gal,1,8,13,,accusative
Gal,1,9,13,,accusative
Gal,2,6,9,relative clause,
Gal,2,9,20,"pronoun, noun",
Gal,2,20,13,,accusative
Gal,3,19,11,,genitive
Gal,3,28,4,"noun, adjective",
Gal,3,28,9,"noun, adjective",
Gal,4,19,8,,genitive
Gal,4,31,7,"noun, adjective",
Gal,5,6,11,noun,
Gal,5,14,15,clause,
Gal,5,21,4,"noun, adjective",
Gal,5,24,4,headless,
Eph,1,4,1,participle,
Eph,1,17,1,participle,nominative
Eph,2,15,8,,nominative
Eph,4,1,9,adjective,
Eph,4,10,12,participle,nominative
Eph,5,4,10,noun,
Eph,5,5,8,"noun, adjective",
Eph,5,10,3,,accusative
Eph,5,15,5,,accusative
Eph,5,16,4,,nominative
Eph,5,27,11,"noun, pronoun",
Eph,5,27,17,"participle, clause",
Eph,6,7,4,noun,dative
Phil,1,13,13,"noun, adjective",
Phil,1,27,2,adjective,
Phil,1,27,9,,nominative
Phil,1,29,8,adjective,accusative
Phil,2,4,3,headless,accusative
Phil,2,4,9,headless,
Phil,2,13,8,,accusative
Phil,2,15,12,"adjective, participle",
Phil,2,21,5,,accusative
Phil,2,21,9,,accusative
Phil,2,25,7,"noun, adjective",
Phil,3,9,12,"noun, headless",
Phil,3,10,4,"pronoun, noun",
Phil,3,11,1,,nominative
Phil,3,15,3,relative clause,
Phil,3,16,4,,accusative
Phil,3,17,10,participle,
Phil,3,19,4,relative clause,
Phil,4,3,18,"noun, adjective",
Phil,4,3,26,relative clause,
Phil,4,15,12,relative clause,
Col,1,7,1,relative clause,
Col,1,9,16,participle,nominative
Col,1,10,2,adjective,
Col,1,19,1,relative clause,
Col,1,21,6,"participle, adjective",
Col,2,1,10,"pronoun, headless, relative clause",
Col,2,7,6,,nominative
Col,2,18,12,,accusative
Col,3,11,5,"noun, adjective",
Col,3,11,14,relative clause,
Col,3,12,8,"adjective, participle",
Col,3,23,2,,accusative
Col,3,23,7,noun,dative
Col,3,25,6,,accusative
Col,4,12,16,,nominative
Col,4,12,19,"adjective, participle",
Col,4,13,10,"pronoun, headless",
1Thess,1,5,26,,accusative
1Thess,1,6,6,"pronoun, noun",
1Thess,1,9,11,,accusative
1Thess,1,9,23,"adjective, participle",
1Thess,2,2,5,,nominative
